类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
湘菜,浦东新区,5,7.2,6.9,7.2,657,上海市,121.8213407,30.90090803
快餐,浦东新区,13,6.9,6.7,6.7,657,上海市,121.8211563,30.90076876
常菜,浦东新区,0,0,0,0,656,上海市,121.8210901,30.90069468
火锅,浦东新区,28,7.1,7.1,7.1,656,上海市,121.8202019,30.90026427
龙虾,浦东新区,3,7.2,7,7,656,上海市,121.8202019,30.90026427
美食,浦东新区,11,7.4,7.6,7.5,656,上海市,121.8165287,30.87421864
本菜,浦东新区,0,0,0,0,655,上海市,121.8158488,30.91223509
西餐,浦东新区,46,7.2,7.2,7.1,655,上海市,121.8158488,30.91223509
啡厅,浦东新区,73,7.3,7.5,7.4,654,上海市,121.8158488,30.91223509
西餐,浦东新区,46,7.2,7.2,7.1,653,上海市,121.8158488,30.91223509
西餐,浦东新区,67,6.9,7.1,7,652,上海市,121.8153878,30.87413656
啡厅,浦东新区,35,7.6,7.7,7.7,652,上海市,121.8153688,30.87427345
海鲜,浦东新区,14,7.1,7.1,7.1,649,上海市,121.8147842,30.91219714
烧烤,浦东新区,1,7.2,7.2,7.2,649,上海市,121.814737,30.97380453
湘菜,浦东新区,60,7.1,7.1,7.2,649,上海市,121.8135568,30.89142109
粤菜,浦东新区,19,7.1,7,7,649,上海市,121.8133473,30.89150166
西餐,浦东新区,7,7.8,7.8,7.8,648,上海市,121.81324,30.8916084
浙菜,浦东新区,325,7.5,8.3,7.5,648,上海市,121.81315,30.91260888
快餐,浦东新区,2,7.2,7.1,7.2,648,上海市,121.8129911,30.96763798
川菜,浦东新区,8,7.6,7.6,7.8,646,上海市,121.8129749,30.90876583
粤菜,浦东新区,21,7.3,7.4,7.4,645,上海市,121.8129749,30.90876583
西餐,浦东新区,7,7.8,7.6,7.8,645,上海市,121.8129749,30.90876583
美食,浦东新区,36,7.7,7.9,7.7,643,上海市,121.8124163,30.91160413
海鲜,浦东新区,0,0,0,0,641,上海市,121.812013,30.9024318
浙菜,浦东新区,44,6.8,6.8,6.3,640,上海市,121.8119764,30.90869904
蟹宴,浦东新区,19,6.7,6.8,6.7,635,上海市,121.8119764,30.90869904
浙菜,浦东新区,26,7.2,7.3,7.2,634,上海市,121.8119764,30.90869904
川菜,浦东新区,107,8.2,8.1,8,634,上海市,121.8119764,30.90869904
川菜,浦东新区,99,7.5,7.4,7.4,633,上海市,121.8119764,30.90869904
川菜,浦东新区,23,6.8,6.9,6.9,633,上海市,121.8119764,30.90869904
粤菜,浦东新区,99,6.8,7,6.9,631,上海市,121.8119764,30.90869904
湘菜,浦东新区,300,7,7.3,6.6,631,上海市,121.8119764,30.90869904
火锅,浦东新区,68,7.9,7.7,7.4,630,上海市,121.8119764,30.90869904
火锅,浦东新区,229,7.7,7.4,7.7,629,上海市,121.8119764,30.90869904
