类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
海鲜,松江区,0,0,0,0,0,上海市,121.2513533,31.01254821
本菜,松江区,247,7.3,7.3,7.3,0,上海市,121.2513313,31.01377649
浙菜,松江区,55,7.6,7.4,7.5,0,上海市,121.2513235,31.01126297
龙虾,松江区,340,8.2,8,7.8,0,上海市,121.2513235,31.01126297
龙虾,松江区,340,8.2,8,7.8,0,上海市,121.2513235,31.01126297
浙菜,嘉定区,0,0,0,0,0,上海市,121.2512949,31.34859594
甜点,嘉定区,7,7.4,7.4,7.4,0,上海市,121.2512949,31.34859594
甜点,嘉定区,7,7.4,7.4,7.4,0,上海市,121.2512949,31.34859594
火锅,嘉定区,65,6.7,6.6,6.6,0,上海市,121.2512858,31.38556514
甜点,嘉定区,3,6.5,6.7,6.7,0,上海市,121.2512858,31.38556514
火锅,松江区,2,6.7,6.6,6.6,0,上海市,121.2513135,31.01083023
火锅,松江区,501,9,8.3,8.8,0,上海市,121.2513025,31.01089419
浙菜,嘉定区,6,7.4,7.2,7.3,0,上海市,121.2512585,31.35344131
美食,嘉定区,0,0,0,0,0,上海市,121.2512585,31.35344131
川菜,嘉定区,10,6.9,6.9,6.9,0,上海市,121.2512398,31.38530022
烧烤,嘉定区,15,6.6,6.6,6.5,0,上海市,121.2512398,31.38530022
龙虾,嘉定区,0,0,0,0,0,上海市,121.2512667,31.00850461
美食,嘉定区,1,6.9,6.9,6.9,0,上海市,121.2512667,31.00850461
龙虾,嘉定区,0,0,0,0,0,上海市,121.2512667,31.00850461
火锅,松江区,12,7.4,7.5,7.5,0,上海市,121.2512452,31.01427422
西餐,松江区,0,0,0,0,0,上海市,121.2512326,31.09265007
川菜,松江区,0,0,0,0,0,上海市,121.2512373,31.01359362
龙虾,松江区,0,0,0,0,0,上海市,121.2512373,31.01359362
美食,松江区,292,8.1,8,8.3,0,上海市,121.251232,31.01750532
本菜,松江区,100,7.5,7.5,7.6,0,上海市,121.251231,31.01766723
快餐,嘉定区,405,6.6,6.4,6.3,0,上海市,121.2511999,31.38527724
川菜,松江区,0,0,0,0,0,上海市,121.2512141,31.08769386
浙菜,嘉定区,37,7.1,7.1,6.9,0,上海市,121.2511805,31.38922708
快餐,嘉定区,25,6.7,6.9,6.9,0,上海市,121.2511805,31.38922708
甜点,嘉定区,3,7.4,7.4,7.4,0,上海市,121.2511716,31.33003349
甜点,嘉定区,3,7.4,7.4,7.4,0,上海市,121.2511716,31.33003349
浙菜,嘉定区,23,6.7,7.2,6.6,0,上海市,121.2511622,31.35752197
西餐,嘉定区,30,7,7.1,7.1,0,上海市,121.2511435,31.35391218
火锅,松江区,27,7.1,7.2,7.1,0,上海市,121.251164,31.01787312
本菜,松江区,333,7.5,7.6,7.4,0,上海市,121.251164,31.01787312
啡厅,松江区,54,7.6,7.7,7.5,0,上海市,121.251164,31.01787312
啡厅,松江区,54,7.6,7.7,7.5,0,上海市,121.251164,31.01787312
啡厅,松江区,37,7.7,7.9,7.2,0,上海市,121.251164,31.01787312
啡厅,松江区,54,7.6,7.7,7.5,0,上海市,121.251164,31.01787312
甜点,松江区,1,7.3,7.3,7.1,0,上海市,121.2511512,31.01488988
浙菜,嘉定区,1,7.1,7.1,7.1,0,上海市,121.2511168,31.4213773
美食,松江区,3,7.3,7.2,7.1,0,上海市,121.2511448,31.00824779
甜点,松江区,2,7.2,7.2,7.2,0,上海市,121.2511335,31.01220646
常菜,松江区,1,7.2,7.2,7,0,上海市,121.2511335,31.01220646
甜点,松江区,2,7.2,7.2,7.2,0,上海市,121.2511335,31.01220646
川菜,松江区,2,7.3,7.1,7.3,0,上海市,121.2511298,31.00818783
川菜,松江区,2,6.9,6.9,6.9,0,上海市,121.2511298,31.00818783
烧烤,松江区,0,0,0,0,0,上海市,121.2511298,31.00818783
快餐,松江区,0,0,0,0,0,上海市,121.2511218,31.0080689
快餐,松江区,2,7.7,7.7,7.7,0,上海市,121.2511022,31.01582834
甜点,松江区,173,7.6,7.6,7.6,0,上海市,121.2511022,31.01584233
火锅,松江区,0,0,0,0,0,上海市,121.2510992,31.01577537
烧烤,松江区,7,7.3,7,7.1,0,上海市,121.2510992,31.01577537
美食,松江区,2,7.4,7.4,7.4,0,上海市,121.2510972,31.01565244
美食,松江区,1,6.9,6.9,6.9,0,上海市,121.2510972,31.01565244
疆菜,松江区,0,0,0,0,0,上海市,121.2510972,31.01565244
火锅,松江区,105,7.5,7.1,7.3,0,上海市,121.2510922,31.01562846
美食,松江区,0,0,0,0,0,上海市,121.2510887,31.00971294
浙菜,松江区,9,7.3,7.2,7.3,0,上海市,121.2510818,31.00792699
本菜,嘉定区,342,8,7.7,7.8,0,上海市,121.2510479,31.38530727
湘菜,松江区,67,6.8,6.7,6.8,0,上海市,121.2510773,31.01381553
料理,松江区,70,7.6,7.3,7.5,0,上海市,121.2510773,31.01381553
烧烤,松江区,0,0,0,0,0,上海市,121.2510772,31.01535562
火锅,松江区,13,7.4,7.4,7.4,0,上海市,121.2510762,31.01532664
快餐,松江区,3,7.3,7.2,7.3,0,上海市,121.2510735,31.01185068
,,,,,,0,,,
火锅,嘉定区,12,7.8,7.6,7.8,0,上海市,121.2510309,31.38523729
火锅,松江区,20,7.4,7.4,7.4,0,上海市,121.2510592,31.01518872
火锅,松江区,2,7,7.1,7,0,上海市,121.2510533,31.01495386
快餐,松江区,1,0,0,0,0,上海市,121.2510533,31.01495386
西餐,卢湾区,1,6.9,6.9,6.9,0,上海市,121.251021,31.38433356
美食,卢湾区,15,7.4,7.3,7.2,0,上海市,121.251021,31.38433356
啡厅,卢湾区,59,7.8,7.8,7.6,0,上海市,121.251021,31.38433356
啡厅,卢湾区,59,7.8,7.8,7.6,0,上海市,121.251021,31.38433356
西餐,卢湾区,1,6.9,6.9,6.9,0,上海市,121.251021,31.38433356
浙菜,嘉定区,2430,7.9,8.5,8.3,0,上海市,121.251021,31.38433356
海鲜,嘉定区,1155,7.7,8,7.8,0,上海市,121.251021,31.38433356
川菜,嘉定区,1423,8.2,8.3,8.1,0,上海市,121.251021,31.38433356
川菜,嘉定区,452,7.6,8.1,7.6,0,上海市,121.251021,31.38433356
粤菜,嘉定区,1143,7.8,8.2,7.8,0,上海市,121.251021,31.38433356
湘菜,嘉定区,624,7.6,8.1,7,0,上海市,121.251021,31.38433356
海鲜,嘉定区,1032,7,7.2,7.4,0,上海市,121.251021,31.38433356
火锅,嘉定区,35,6.4,6.7,6.8,0,上海市,121.251021,31.38433356
海鲜,嘉定区,1032,7,7.2,7.4,0,上海市,121.251021,31.38433356
快餐,嘉定区,56,7.8,8,8.1,0,上海市,121.251021,31.38433356
快餐,嘉定区,61,6.8,6.9,6.8,0,上海市,121.251021,31.38433356
快餐,嘉定区,124,7.2,7.1,7.1,0,上海市,121.251021,31.38433356
快餐,嘉定区,2,7.5,7.2,7.2,0,上海市,121.2510192,31.40534955
本菜,嘉定区,2890,9.1,9.1,9.1,0,上海市,121.251021,31.38433356
本菜,嘉定区,823,7.4,8.3,8.1,0,上海市,121.251021,31.38433356
料理,嘉定区,1232,8.2,8.5,8.4,0,上海市,121.251021,31.38433356
料理,嘉定区,0,0,0,0,0,上海市,121.251021,31.38433356
西餐,嘉定区,37,8.5,8.4,8.7,0,上海市,121.251021,31.38433356
西餐,嘉定区,412,8.1,8.7,8.2,0,上海市,121.251021,31.38433356
西餐,嘉定区,1148,8,8.7,8.7,0,上海市,121.251021,31.38433356
西餐,嘉定区,299,7.8,8.5,7.8,0,上海市,121.251021,31.38433356
西餐,嘉定区,134,7.3,7.2,7.6,0,上海市,121.251021,31.38433356
甜点,嘉定区,1052,8.2,8.2,8.2,0,上海市,121.251021,31.38433356
甜点,嘉定区,135,7.3,7.6,7.2,0,上海市,121.251021,31.38433356
甜点,嘉定区,691,7.4,7.3,7.4,0,上海市,121.251021,31.38433356
甜点,嘉定区,26,7.1,7.1,7.2,0,上海市,121.251021,31.38433356
快餐,嘉定区,124,7.2,7.1,7.1,0,上海市,121.251021,31.38433356
甜点,嘉定区,22,7,7.1,6.9,0,上海市,121.251021,31.38433356
甜点,嘉定区,5,6.7,7,7,0,上海市,121.251021,31.38433356
甜点,嘉定区,0,0,0,0,0,上海市,121.251021,31.38433356
甜点,嘉定区,0,0,0,0,0,上海市,121.251021,31.38433356
甜点,嘉定区,3,6.6,6.6,6.6,0,上海市,121.251021,31.38433356
疆菜,嘉定区,1737,8.4,8.2,8.2,0,上海市,121.251021,31.38433356
美食,嘉定区,0,0,0,0,0,上海市,121.251021,31.38433356
海鲜,嘉定区,1155,7.7,8,7.8,0,上海市,121.251021,31.38433356
海鲜,嘉定区,1032,7,7.2,7.4,0,上海市,121.251021,31.38433356
本菜,嘉定区,2890,9.1,9.1,9.1,0,上海市,121.251021,31.38433356
疆菜,嘉定区,1737,8.4,8.2,8.2,0,上海市,121.251021,31.38433356
西餐,嘉定区,37,8.5,8.4,8.7,0,上海市,121.251021,31.38433356
甜点,嘉定区,1052,8.2,8.2,8.2,0,上海市,121.251021,31.38433356
甜点,嘉定区,135,7.3,7.6,7.2,0,上海市,121.251021,31.38433356
甜点,嘉定区,5,6.7,7,7,0,上海市,121.251021,31.38433356
甜点,嘉定区,0,0,0,0,0,上海市,121.251021,31.38433356
甜点,嘉定区,0,0,0,0,0,上海市,121.251021,31.38433356
甜点,嘉定区,3,6.6,6.6,6.6,0,上海市,121.251021,31.38433356
火锅,松江区,10,7.4,7.3,7.3,0,上海市,121.2510473,31.01449213
啡厅,嘉定区,0,0,0,0,0,上海市,121.2510122,31.40525558
啡厅,嘉定区,0,0,0,0,0,上海市,121.2510122,31.40525558
龙虾,松江区,4,7.2,7.2,6.7,0,上海市,121.2510443,31.01450613
快餐,松江区,6,7.4,7.2,7.3,0,上海市,121.2510423,31.01453511
美食,松江区,0,0,0,0,0,上海市,121.251026,31.12505922
火锅,松江区,710,9,8.9,8.9,0,上海市,121.251029,31.01798709
烧烤,松江区,837,8.3,8,8.5,0,上海市,121.2510247,31.01010572
烧烤,松江区,837,8.3,8,8.5,0,上海市,121.2510247,31.01010572
烧烤,松江区,837,8.3,8,8.5,0,上海市,121.2510247,31.01010572
本菜,嘉定区,2,6.9,6.9,6.9,0,上海市,121.2510247,31.01010572
川菜,松江区,275,7.2,6.8,6.8,0,上海市,121.2510183,31.01402941
烧烤,松江区,8,7.6,7.7,7.6,0,上海市,121.2510114,31.01369461
快餐,松江区,29,7.3,7.1,7.2,0,上海市,121.2510064,31.01357968
浙菜,松江区,27,6.9,6.7,6.7,0,上海市,121.2510053,31.01502283
浙菜,松江区,23,7.3,7.2,7,0,上海市,121.2509994,31.01351272
粤菜,松江区,10,7,7,7,0,上海市,121.2509986,31.01092125
甜点,嘉定区,9,7.2,6.8,6.8,0,上海市,121.2509636,31.38974498
甜点,嘉定区,9,7.2,6.8,6.8,0,上海市,121.2509636,31.38974498
火锅,松江区,0,0,0,0,0,上海市,121.250983,31.01828392
本菜,松江区,1255,8.3,8.8,8.6,0,上海市,121.250983,31.01828392
海鲜,松江区,19,7.2,7.2,7.3,0,上海市,121.2509834,31.01329885
火锅,松江区,8,6.8,6.5,6.8,0,上海市,121.2509794,31.01314394
快餐,松江区,14,7.5,7.5,7.5,0,上海市,121.2509734,31.01306899
快餐,松江区,0,0,0,0,0,上海市,121.2509734,31.01306899
快餐,松江区,0,0,0,0,0,上海市,121.2509734,31.01306899
快餐,松江区,1,6.9,6.9,6.9,0,上海市,121.2509694,31.013057
美食,松江区,0,0,0,0,0,上海市,121.2509385,31.01260327
常菜,嘉定区,2,7.3,7.3,7.3,0,上海市,121.2508856,31.3540252
快餐,松江区,91,0,0,0,0,上海市,121.2509026,31.01177876
龙虾,松江区,0,0,0,0,0,上海市,121.2509016,31.01170181
火锅,嘉定区,1414,8.3,7.8,7.4,0,上海市,121.2508681,31.38351784
火锅,嘉定区,1414,8.3,7.8,7.4,0,上海市,121.2508681,31.38351784
火锅,嘉定区,1414,8.3,7.8,7.4,0,上海市,121.2508681,31.38351784
火锅,嘉定区,1414,8.3,7.8,7.4,0,上海市,121.2508681,31.38351784
快餐,嘉定区,43,0,0,0,0,上海市,121.250845,31.38526032
甜点,松江区,20,7.2,7.1,7.2,0,上海市,121.2508742,31.01584438
蟹宴,松江区,0,0,0,0,0,上海市,121.2508696,31.01149494
蟹宴,松江区,0,0,0,0,0,上海市,121.2508696,31.01149494
快餐,松江区,0,0,0,0,0,上海市,121.2508686,31.01149594
甜点,普陀区,0,0,0,0,0,上海市,121.2508096,31.38971202
火锅,松江区,255,7.5,7.5,7.5,0,上海市,121.2508298,31.00993786
快餐,松江区,104,7.6,7.6,7.7,0,上海市,121.2508298,31.00993786
川菜,嘉定区,8,7,6.9,7,0,上海市,121.2507941,31.34888495
快餐,嘉定区,0,0,0,0,0,上海市,121.2507941,31.34833814
烧烤,嘉定区,0,0,0,0,0,上海市,121.2507941,31.34833814
火锅,松江区,0,0,0,0,0,上海市,121.2508091,31.00584627
火锅,嘉定区,0,0,0,0,0,上海市,121.2507577,31.36573238
浙菜,松江区,134,6.7,6.9,6.9,0,上海市,121.2507755,31.01263329
美食,嘉定区,3,7.4,7.2,7.4,0,上海市,121.2507441,31.37255423
火锅,松江区,0,0,0,0,0,上海市,121.25075,31.00721948
湾菜,松江区,0,0,0,0,0,上海市,121.2507207,31.09390548
浙菜,松江区,1,7.4,7.1,7.4,0,上海市,121.250699,31.00701361
浙菜,松江区,1,6.8,6.8,6.8,0,上海市,121.250699,31.00701361
火锅,松江区,1054,8.6,8.5,8.1,0,上海市,121.2506926,31.01255735
浙菜,松江区,0,0,0,0,0,上海市,121.2506641,31.00706459
浙菜,松江区,0,0,0,0,0,上海市,121.2506641,31.00706459
浙菜,松江区,0,0,0,0,0,上海市,121.2506641,31.00706459
啡厅,松江区,0,0,0,0,0,上海市,121.2506327,31.09512782
啡厅,松江区,0,0,0,0,0,上海市,121.2506327,31.09512782
浙菜,嘉定区,346,8.1,7.4,7.5,0,上海市,121.2505834,31.41671262
西餐,嘉定区,1,7,7,7,0,上海市,121.2505814,31.34639485
甜点,嘉定区,0,0,0,0,0,上海市,121.2505814,31.34639485
美食,嘉定区,52,6.8,7,6.8,0,上海市,121.2505237,31.33160706
湘菜,松江区,2,7.2,7.2,7.2,0,上海市,121.2505246,31.01262434
火锅,松江区,0,0,0,0,0,上海市,121.2505246,31.01262434
美食,松江区,4,7.5,7.3,7.3,0,上海市,121.2505246,31.01262434
快餐,松江区,2,7.1,7.1,7.1,0,上海市,121.2505246,31.01262434
川菜,嘉定区,14,7.1,7.1,7.3,0,上海市,121.2504939,31.32906299
甜点,嘉定区,5,7.4,7.3,7.4,0,上海市,121.2504689,31.36409597
甜点,嘉定区,5,7.4,7.3,7.4,0,上海市,121.2504689,31.36409597
湘菜,嘉定区,1854,8.1,8,8,0,上海市,121.2503322,31.38495852
火锅,嘉定区,539,7.5,7.1,7.2,0,上海市,121.2503322,31.38495852
甜点,嘉定区,4,6.9,7.1,7.2,0,上海市,121.2503322,31.38495852
美食,嘉定区,0,0,0,0,0,上海市,121.2503295,31.33452506
浙菜,松江区,189,7.5,7.7,7.5,0,上海市,121.2502716,31.01355685
常菜,松江区,0,0,0,0,0,上海市,121.2502716,31.01355685
西餐,嘉定区,21,6.9,6.9,6.9,0,上海市,121.2502119,31.36543059
火锅,嘉定区,935,8.2,7.6,7.6,0,上海市,121.25009,31.40035612
火锅,嘉定区,935,8.2,7.6,7.6,0,上海市,121.25009,31.40035612
火锅,嘉定区,935,8.2,7.6,7.6,0,上海市,121.25009,31.40035612
浙菜,嘉定区,0,0,0,0,0,上海市,121.2500782,31.42093163
北菜,嘉定区,0,0,0,0,0,上海市,121.2500782,31.42093163
火锅,嘉定区,70,6.8,6.4,6.5,0,上海市,121.2500789,31.40056706
海鲜,嘉定区,2,7,7,7,0,上海市,121.2500542,31.3746957
快餐,嘉定区,4,7.4,7.4,7.4,0,上海市,121.2500238,31.33189206
美食,嘉定区,1,6.9,6.9,6.9,0,上海市,121.249991,31.36503376
美食,嘉定区,1,6.9,6.9,6.9,0,上海市,121.249991,31.36503376
蟹宴,嘉定区,0,0,0,0,0,上海市,121.2499851,31.39895253
蟹宴,嘉定区,0,0,0,0,0,上海市,121.2499851,31.39895253
快餐,嘉定区,100,7.4,7.1,7.4,0,上海市,121.2499826,31.37028909
浙菜,嘉定区,15,7.4,7.1,7.2,0,上海市,121.2499756,31.36995419
美食,嘉定区,0,0,0,0,0,上海市,121.2499419,31.33164916
快餐,嘉定区,302,7.4,7.2,7.2,0,上海市,121.249899,31.40094399
快餐,嘉定区,302,7.4,7.2,7.2,0,上海市,121.249899,31.40094399
浙菜,嘉定区,0,0,0,0,0,上海市,121.2498956,31.37005818
啡厅,嘉定区,726,7.9,8.4,7.9,0,上海市,121.2498761,31.35224299
啡厅,嘉定区,726,7.9,8.4,7.9,0,上海市,121.2498761,31.35224299
啡厅,嘉定区,726,7.9,8.4,7.9,0,上海市,121.2498761,31.35224299
啡厅,嘉定区,726,7.9,8.4,7.9,0,上海市,121.2498761,31.35224299
北菜,嘉定区,1,6.9,6.9,7,0,上海市,121.2498606,31.37040207
甜点,嘉定区,1,7,7,7,0,上海市,121.2498588,31.33204303
浙菜,嘉定区,19,7.8,7.6,7.7,0,上海市,121.2498394,31.38463871
助餐,嘉定区,5,7.4,7.3,7.3,0,上海市,121.2498394,31.38463871
甜点,嘉定区,2,6.9,6.9,6.9,0,上海市,121.2498394,31.38463871
北菜,嘉定区,0,0,0,0,0,上海市,121.2498394,31.38463871
甜点,嘉定区,2,6.9,6.9,6.9,0,上海市,121.2498394,31.38463871
川菜,嘉定区,0,0,0,0,0,上海市,121.2497863,31.35034665
本菜,嘉定区,397,8.7,9,8.5,0,上海市,121.2497863,31.35034665
龙虾,嘉定区,1,6.9,6.9,6.9,0,上海市,121.2497863,31.35034665
龙虾,嘉定区,1,6.9,6.9,6.9,0,上海市,121.2497863,31.35034665
甜点,嘉定区,14,7.3,7.3,7.4,0,上海市,121.2497762,31.39867765
湾菜,嘉定区,1,7.6,7.2,7.2,0,上海市,121.2497649,31.33145526
,,,,,,0,,,
美食,嘉定区,0,0,0,0,0,上海市,121.2497495,31.3719586
火锅,嘉定区,15,7.5,7.2,7.4,0,上海市,121.249711,31.40099601
美食,嘉定区,0,0,0,0,0,上海市,121.249711,31.40099601
海鲜,松江区,0,0,0,0,0,上海市,121.2497435,31.00568058
川菜,嘉定区,0,0,0,0,0,上海市,121.2497014,31.38531353
快餐,嘉定区,134,7.3,7.2,7.1,0,上海市,121.2497014,31.38531353
甜点,嘉定区,4,7.6,7.5,7.6,0,上海市,121.2497014,31.38531353
快餐,嘉定区,22,7.2,7,7.1,0,上海市,121.2496978,31.39146972
快餐,嘉定区,22,7.2,7,7.1,0,上海市,121.2496978,31.39146972
美食,嘉定区,15,7.6,7.4,7.4,0,上海市,121.2496249,31.33175518
美食,嘉定区,0,0,0,0,0,上海市,121.2496249,31.33175518
快餐,嘉定区,90,7.6,7.7,7.8,0,上海市,121.2496094,31.3854555
甜点,嘉定区,3,6.9,7,7.1,0,上海市,121.2496094,31.3854555
甜点,嘉定区,3,6.9,7,7.1,0,上海市,121.2496094,31.3854555
快餐,嘉定区,174,7.4,7.1,6.8,0,上海市,121.2495689,31.39159071
快餐,嘉定区,174,7.4,7.1,6.8,0,上海市,121.2495689,31.39159071
粤菜,松江区,39,8.3,8.5,8.1,0,上海市,121.2495883,31.05618114
浙菜,嘉定区,23,6.8,6.9,6.9,0,上海市,121.2495507,31.3705041
快餐,松江区,23,7.5,7.1,7.5,0,上海市,121.249576,31.01186596
快餐,松江区,30,7.5,7.4,7.5,0,上海市,121.249576,31.01186596
快餐,松江区,10,7.4,7.3,7.3,0,上海市,121.249576,31.01186596
龙虾,松江区,1,7.1,7.1,7.1,0,上海市,121.249576,31.01186596
快餐,松江区,34,6.8,6.8,6.9,0,上海市,121.2495592,31.0097762
啡厅,嘉定区,22,6.8,6.7,6.8,0,上海市,121.2495136,31.37182069
疆菜,松江区,0,0,0,0,0,上海市,121.2495187,31.11034657
快餐,松江区,2,7.5,7.3,7.5,0,上海市,121.2495143,31.10307159
美食,嘉定区,4,6.3,6.9,6.6,0,上海市,121.2494867,31.37028517
美食,嘉定区,10,7,6.8,7.1,0,上海市,121.249448,31.33200112
川菜,松江区,0,0,0,0,0,上海市,121.249469,31.01254158
火锅,松江区,10,7,7,6.9,0,上海市,121.249469,31.01254158
火锅,松江区,2,6.9,6.9,6.9,0,上海市,121.249469,31.01254158
快餐,松江区,10,7.5,7.3,7.3,0,上海市,121.249469,31.01254158
西餐,松江区,11,7.5,7.4,7.5,0,上海市,121.249469,31.01254158
西餐,松江区,4,7,7,7.1,0,上海市,121.249469,31.01254158
快餐,松江区,10,7.5,7.3,7.3,0,上海市,121.249469,31.01254158
甜点,松江区,8,6.5,6.4,6.4,0,上海市,121.249469,31.01254158
火锅,松江区,0,0,0,0,0,上海市,121.2494532,31.10482263
快餐,松江区,2,7.5,7.6,7.5,0,上海市,121.2494532,31.10482263
快餐,松江区,3,7.5,7.5,7.5,0,上海市,121.2494532,31.10482263
快餐,松江区,2,7.4,7.4,7.4,0,上海市,121.2494532,31.10482263
快餐,松江区,6,7.5,7.6,7.6,0,上海市,121.2494434,31.10319654
川菜,嘉定区,5,7.3,7.2,7.2,0,上海市,121.2494147,31.37065807
快餐,嘉定区,1,6.9,6.9,6.9,0,上海市,121.2494127,31.37102795
川菜,嘉定区,0,0,0,0,0,上海市,121.2494127,31.37102795
快餐,嘉定区,93,7.2,7.2,7,0,上海市,121.2493882,31.37604639
快餐,嘉定区,93,7,7,6.9,0,上海市,121.2493882,31.37604639
快餐,嘉定区,1,7,7,7,0,上海市,121.2493882,31.37604639
甜点,嘉定区,3,0,0,0,0,上海市,121.2493882,31.37604639
甜点,嘉定区,3,0,0,0,0,上海市,121.2493882,31.37604639
川菜,嘉定区,1,6.9,6.9,6.9,0,上海市,121.2493847,31.37071006
烧烤,嘉定区,48,6.5,6.2,6.3,0,上海市,121.2493825,31.39648133
烧烤,嘉定区,48,6.5,6.2,6.3,0,上海市,121.2493825,31.39648133
蟹宴,嘉定区,7,7.6,7.6,7.6,0,上海市,121.2493044,31.37484178
蟹宴,嘉定区,7,7.6,7.6,7.6,0,上海市,121.2493044,31.37484178
川菜,嘉定区,7,7.3,7.5,7.6,0,上海市,121.2492713,31.3760894
甜点,嘉定区,12,7.1,7.4,7.1,0,上海市,121.2492713,31.3760894
火锅,嘉定区,400,8.7,8.7,8.5,0,上海市,121.2492573,31.37572051
本菜,嘉定区,591,7.7,7.8,7.7,0,上海市,121.2492573,31.37572051
甜点,嘉定区,63,6.8,6.4,6.5,0,上海市,121.2492573,31.37572051
甜点,嘉定区,63,6.8,6.4,6.5,0,上海市,121.2492573,31.37572051
浙菜,嘉定区,12,7.5,7.2,7.4,0,上海市,121.2492477,31.37087003
粤菜,嘉定区,0,0,0,0,0,上海市,121.2492456,31.39553463
粤菜,嘉定区,0,0,0,0,0,上海市,121.2492456,31.39553463
火锅,松江区,0,0,0,0,0,上海市,121.249272,31.01259758
快餐,松江区,4,7.7,7.7,7.4,0,上海市,121.249272,31.01259758
烧烤,松江区,14,7.9,7.6,7.8,0,上海市,121.249272,31.01259758
甜点,松江区,0,0,0,0,0,上海市,121.249272,31.01259758
浙菜,嘉定区,9,6.6,6.6,6.6,0,上海市,121.2492377,31.37061711
川菜,嘉定区,0,0,0,0,0,上海市,121.2492111,31.33183522
快餐,嘉定区,7,7.3,7,6.8,0,上海市,121.249209,31.33279987
北菜,嘉定区,6,6.6,6.5,6.4,0,上海市,121.249209,31.33279987
北菜,嘉定区,0,0,0,0,0,上海市,121.249209,31.33279987
快餐,嘉定区,15,7.6,7.6,7.4,0,上海市,121.249179,31.36773303
美食,嘉定区,1,7.1,7.1,7.1,0,上海市,121.249179,31.36773303
西餐,宝山区,0,0,0,0,0,上海市,121.249177,31.36773703
烧烤,嘉定区,0,0,0,0,0,上海市,121.2491667,31.37095601
西餐,嘉定区,38,8.7,8.9,8.8,0,上海市,121.2491456,31.34929811
美食,嘉定区,0,0,0,0,0,上海市,121.2491456,31.34929811
啡厅,嘉定区,53,7.9,8.1,8.2,0,上海市,121.2491456,31.34929811
快餐,嘉定区,11,7.3,7.3,7.3,0,上海市,121.2491456,31.34929811
西餐,嘉定区,38,8.7,8.9,8.8,0,上海市,121.2491456,31.34929811
啡厅,嘉定区,53,7.9,8.1,8.2,0,上海市,121.2491456,31.34929811
烧烤,松江区,0,0,0,0,0,上海市,121.2491711,31.01261759
浙菜,松江区,11,7.2,7.2,7.2,0,上海市,121.2491707,31.00521594
甜点,松江区,5,7.2,7.2,7.2,0,上海市,121.2491707,31.00521594
美食,松江区,5,7.2,7.2,7.2,0,上海市,121.2491707,31.00521594
龙虾,松江区,11,0,0,0,0,上海市,121.2491707,31.00521594
海鲜,松江区,10,7.5,7.5,7.5,0,上海市,121.2491707,31.00521594
常菜,松江区,1,6.9,6.9,6.9,0,上海市,121.2491707,31.00521594
甜点,松江区,5,7.2,7.2,7.2,0,上海市,121.2491707,31.00521594
常菜,嘉定区,0,0,0,0,0,上海市,121.2491229,31.38088895
浙菜,嘉定区,3,7.3,7.3,7.3,0,上海市,121.2490524,31.37565756
美食,嘉定区,10,7.3,7.3,7.7,0,上海市,121.249045,31.33290686
啡厅,松江区,0,0,0,0,0,上海市,121.2490622,31.10686256
火锅,嘉定区,0,0,0,0,0,上海市,121.249019,31.4616225
甜点,普陀区,1,6.9,6.9,6.9,0,上海市,121.2489818,31.39453195
甜点,普陀区,1,6.9,6.9,6.9,0,上海市,121.2489818,31.39453195
北菜,嘉定区,0,0,0,0,0,上海市,121.2489818,31.39453195
美食,嘉定区,3,7.2,7.4,7.1,0,上海市,121.2489818,31.37134792
快餐,嘉定区,62,7.1,7.1,6.9,0,上海市,121.2489697,31.37158585
啡厅,嘉定区,9,6.4,6.4,6.3,0,上海市,121.2489697,31.37158585
快餐,嘉定区,10,7.5,7.2,7.3,0,上海市,121.2489428,31.37097804
本菜,嘉定区,150,6.5,6.7,6.7,0,上海市,121.2489326,31.38533864
西餐,嘉定区,22,7.6,7.9,7.8,0,上海市,121.2489326,31.38533864
川菜,嘉定区,0,0,0,0,0,上海市,121.2488961,31.42578261
浙菜,嘉定区,618,9,9.2,8.9,0,上海市,121.2488396,31.38527568
快餐,嘉定区,4,7,7.1,7.1,0,上海市,121.2488191,31.33311481
美食,松江区,12,7.2,7.2,7.3,0,上海市,121.2488163,31.09397877
疆菜,嘉定区,1,7.3,7.3,7.3,0,上海市,121.248745,31.38103196
湘菜,松江区,8,7.1,6.7,6.9,0,上海市,121.2487718,31.00540289
快餐,嘉定区,16,6.9,6.9,6.9,0,上海市,121.248713,31.33391954
浙菜,松江区,0,0,0,0,0,上海市,121.2486519,31.00480026
川菜,松江区,0,0,0,0,0,上海市,121.2486519,31.00480026
川菜,松江区,0,0,0,0,0,上海市,121.2486519,31.00480026
西餐,嘉定区,0,0,0,0,0,上海市,121.2486519,31.00480026
快餐,松江区,1,7.1,7.1,7.1,0,上海市,121.2486519,31.00480026
浙菜,嘉定区,0,0,0,0,0,上海市,121.2486519,31.00480026
快餐,嘉定区,9,6.7,6.7,6.8,0,上海市,121.2485923,31.33111456
西餐,松江区,14,7.1,7.1,7.3,0,上海市,121.24856,31.10972605
西餐,松江区,3,6.8,7.1,7.4,0,上海市,121.24856,31.10972605
甜点,松江区,1,7.1,7.1,7.1,0,上海市,121.24856,31.10972605
快餐,嘉定区,44,7.5,7.4,7.4,0,上海市,121.2484706,31.39839092
